iter	F1	Logloss
0	0.8232916208	0.60085162
1	0.8390175319	0.5504458772
2	0.8391644977	0.4979145903
3	0.8513824973	0.4574845399
4	0.8703927598	0.4282691081
5	0.8701822157	0.4104454132
6	0.8734917021	0.393080662
7	0.876458973	0.3682964068
8	0.8815714899	0.3515179848
9	0.8844249081	0.3429177283
10	0.8936055482	0.3217036222
11	0.8979315939	0.3112292643
12	0.901091314	0.3028123731
13	0.906735043	0.2892735473
14	0.9086621337	0.2845674513
15	0.9134461427	0.2741746383
16	0.9151836608	0.2662229063
17	0.918851296	0.2583533153
18	0.9267454604	0.2498115544
19	0.9284890684	0.2445142516
20	0.9305156273	0.2385399391
21	0.9326364601	0.2318743567
22	0.9341674107	0.2266017021
23	0.9355571248	0.2204644725
24	0.9359052224	0.2181915098
25	0.9365112921	0.2160893444
26	0.937139733	0.2108816682
27	0.9390006796	0.2058420474
28	0.9402646575	0.2011260384
29	0.9426014355	0.1936645568
30	0.9436787687	0.1906678523
31	0.944021984	0.1888501293
32	0.9442128967	0.1871569381
33	0.9463420457	0.1814313806
34	0.9467214916	0.1800026805
35	0.9468858686	0.1790019016
36	0.9470741211	0.1776528567
37	0.9476981872	0.1748543286
38	0.9487718474	0.1705640581
39	0.9509126911	0.1692733892
40	0.9512200074	0.1678405408
41	0.9522707876	0.1653065018
42	0.9525095306	0.1643752551
43	0.9526913894	0.1635249323
44	0.9529380964	0.1626631088
45	0.9537630612	0.1605429501
46	0.954203691	0.1589746084
47	0.9542256301	0.15803144
48	0.9550934604	0.155848367
49	0.9551893017	0.1550556273
50	0.9565603486	0.1515663074
51	0.9567037736	0.1506263941
52	0.9571162605	0.1496254063
53	0.9571647217	0.1489439944
54	0.9575810493	0.146991153
55	0.9587171268	0.1443768619
56	0.9589041096	0.1434792706
57	0.959907709	0.1410053327
58	0.9600498447	0.1400981592
59	0.9604934655	0.1385099411
60	0.9605985318	0.1379692317
61	0.961149423	0.1364248087
62	0.9612229175	0.1357476203
63	0.9614699731	0.1338870968
64	0.9617244067	0.133261316
65	0.961866044	0.1325956841
66	0.9619601827	0.1316946374
67	0.9626100252	0.1301218749
68	0.9631268669	0.1284514615
69	0.9639683313	0.1270187118
70	0.9650920794	0.1243756617
71	0.9651965379	0.1235577231
