iter	Passed	Remaining
0	633	316299
1	1103	274798
2	1549	256634
3	2077	257559
4	2562	253638
5	2978	245234
6	3452	243155
7	3973	244398
8	4441	242310
9	4856	237961
10	5330	236964
11	5741	233492
12	6225	233221
13	6763	234803
14	7210	233152
15	7698	232871
16	8080	229576
17	8462	226596
18	8925	225944
19	9363	224716
20	9810	223767
21	10238	222455
22	10649	220859
23	11112	220401
24	11475	218031
25	11906	217063
26	12379	216870
27	12785	215520
28	13239	215023
29	13692	214516
30	14156	214176
31	14518	212337
32	14917	211103
33	15387	210892
34	15867	210814
35	16207	208890
36	16572	207385
37	16921	205731
38	17362	205233
39	17751	204146
40	18125	202914
41	18522	201981
42	18878	200642
43	19231	199313
44	19556	197733
45	19941	196811
46	20360	196236
47	20721	195129
48	21042	193676
49	21453	193081
50	21861	192466
51	22174	191041
52	22465	189470
53	22859	188799
54	23159	187382
55	23596	187087
56	23944	186092
57	24363	185667
58	24764	185105
59	25116	184190
60	25485	183409
61	25946	183297
62	26248	182073
63	26618	181341
64	26971	180499
65	27360	179916
66	27831	179868
67	28268	179591
68	28652	178975
69	29070	178576
70	29562	178624
71	30047	178616
72	30415	177907
73	30775	177166
74	31118	176337
75	31457	175498
76	31794	174665
77	32192	174171
78	32583	173640
79	32887	172658
80	33421	172885
81	33820	172402
82	34237	172010
83	34613	171418
84	34913	170457
85	35274	169811
86	35843	170152
87	36419	170507
88	36914	170468
89	37314	169986
90	37704	169463
91	38290	169811
92	38718	169443
93	39151	169099
94	39526	168507
95	39889	167868
96	40241	167189
97	40601	166548
98	40948	165863
99	41337	165351
100	41646	164522
101	41980	163807
102	42378	163342
103	42835	163105
104	43243	162676
105	43555	161896
106	43882	161176
107	44231	160544
108	44683	160286
109	45034	159666
110	45362	158972
111	45790	158630
112	46099	157882
113	46488	157410
114	46909	157046
115	47273	156490
116	47761	156347
117	48184	155986
118	48524	155361
119	48899	154849
120	49312	154459
121	49800	154300
122	50209	153894
123	50660	153614
124	50952	152856
125	51330	152361
126	51757	152013
127	52107	151436
128	52423	150767
129	52940	150677
130	53343	150257
131	53748	149844
132	54212	149595
133	54660	149296
134	55006	148721
135	55509	148570
136	55860	148010
137	56292	147666
138	56621	147052
139	56929	146389
140	57477	146344
141	57910	145998
142	58360	145698
143	58962	145769
144	59360	145330
145	59832	145073
146	60158	144462
147	60473	143829
148	60785	143193
149	61122	142620
150	61524	142198
151	61880	141674
152	62208	141086
153	62483	140385
154	62882	139964
155	63329	139649
156	63766	139311
157	64076	138698
158	64382	138078
159	64763	137621
160	65170	137222
161	65566	136799
162	65900	136248
163	66346	135930
164	66650	135321
165	66976	134759
166	67325	134248
167	67756	133900
168	68065	133311
169	68527	133023
170	68996	132748
171	69334	132219
172	69720	131784
173	70110	131357
174	70483	130898
175	70900	130521
176	71181	129896
177	71578	129485
178	71929	128990
179	72350	128623
180	72692	128116
181	73131	127779
182	73497	127314
183	73933	126973
184	74339	126577
185	74714	126131
186	75045	125610
187	75382	125103
188	75736	124624
189	76102	124167
190	76479	123727
191	76805	123208
192	77279	122925
193	77588	122381
194	77981	121971
195	78264	121390
196	78669	120999
197	78975	120457
198	79344	120013
199	79686	119529
200	80095	119147
201	80434	118660
202	80911	118377
203	81330	118009
204	81634	117474
205	81945	116950
206	82351	116564
207	82752	116172
208	83143	115764
209	83459	115253
210	83859	114859
211	84351	114591
212	84628	114030
213	84962	113548
214	85318	113097
215	85706	112688
216	86227	112453
217	86600	112024
218	87111	111773
219	87477	111335
220	87915	110988
221	88277	110545
222	88668	110139
223	88951	109601
224	89291	109134
225	89812	108887
226	90180	108454
227	90639	108131
228	91024	107718
229	91335	107219
230	91696	106780
231	92034	106315
232	92367	105845
233	92673	105347
234	93008	104881
235	93394	104474
236	93782	104071
237	94134	103627
238	94478	103174
239	94873	102779
240	95185	102294
241	95546	101864
242	95953	101481
243	96383	101124
244	96866	100820
245	97443	100611
246	97991	100372
247	98754	100347
248	99325	100123
249	99801	99801
250	100326	99526
251	100941	99339
252	101509	99102
253	101888	98679
254	102414	98398
255	102917	98092
256	103361	97730
257	103835	97396
258	104242	96997
259	104651	96600
260	104974	96126
261	105337	95688
262	105782	95325
263	106080	94829
264	106427	94378
265	106738	93897
266	107148	93504
267	107538	93093
268	107904	92661
269	108222	92189
270	108570	91744
271	108994	91362
272	109470	91024
273	110016	90743
274	110478	90391
275	111075	90148
276	111520	89780
277	112051	89480
278	112419	89048
279	112894	88702
280	113307	88307
281	113672	87874
282	114028	87434
283	114388	86999
284	114926	86699
285	115412	86357
286	115965	86064
287	116370	85661
288	116724	85221
289	117374	84995
290	117786	84595
291	118370	84318
292	118734	83884
293	119170	83500
294	119716	83192
295	120094	82768
296	120497	82360
297	120893	81947
298	121423	81626
299	121996	81330
300	122489	80981
301	122902	80578
302	123311	80172
303	123687	79745
304	124084	79332
305	124421	78881
306	124819	78469
307	125244	78074
308	125618	77647
309	125972	77208
310	126420	76828
311	126874	76450
312	127275	76040
313	127758	75678
314	128209	75297
315	128780	74986
316	129345	74669
317	129700	74231
318	130065	73798
319	130485	73398
320	130919	73005
321	131208	72531
322	131531	72077
323	131930	71666
324	132253	71213
325	132563	70754
326	132915	70319
327	133321	69912
328	133669	69475
329	134038	69050
330	134378	68610
331	134712	68167
332	135125	67765
333	135604	67396
334	136023	66996
335	136403	66578
336	136749	66142
337	137257	65786
338	137782	65436
339	138159	65016
340	138528	64592
341	138970	64202
342	139342	63780
343	139679	63343
344	140145	62963
345	140423	62500
346	140740	62055
347	141137	61646
348	141513	61227
349	141825	60782
350	142158	60346
351	142538	59930
352	142808	59469
353	143106	59021
354	143466	58598
355	143865	58192
356	144253	57782
357	144701	57395
358	145116	56995
359	145432	56557
360	145711	56104
361	146048	55675
362	146402	55253
363	146697	54809
364	147048	54387
365	147507	54005
366	147829	53572
367	148174	53149
368	148570	52744
369	148918	52322
370	149259	51898
371	149550	51458
372	149838	51017
373	150112	50572
374	150497	50165
375	150880	49758
376	151260	49350
377	151642	48942
378	152005	48529
379	152327	48103
380	152757	47711
381	153109	47295
382	153379	46854
383	153795	46459
384	154082	46024
385	154509	45632
386	154869	45220
387	155188	44796
388	155561	44388
389	155970	43991
390	156401	43600
391	156844	43212
392	157297	42826
393	157615	42404
